apparition	ghost	phantom
diddy	puff_daddy	puffy
augustus	caesar_augustus	gaius_octavius
earth	globe	planet_earth
frontman	lead_vocalist	lead_vocals
gallons	gallon	us_gal
host	presenter	tv_host
mental_illness	psychiatric_disorders	psychiatric_illness
distilled_beverage	liquor	spirits
cephas	peter	petrus
cheikh	shaikh	shaykh
dairy_cattle	dairy_cow
cardiac_arrhythmias	dysrhythmia
handbag	purse
lbj	lyndon_baines_johnson
king_zheng	ying_zheng
a.b.	bachelor
mommy	mum
faerie	fey
president_theodore_roosevelt	theodore_roosevelt
peptic_ulcer_disease	peptic_ulcer
space_shuttle_program	space_shuttle
hungarians	magyars
headmaster	principal
felis_catus	house_cat
flood_myth	flood
short_films	short_subject
federal_reserve	fed
migraine_headaches	migraine
mad_hatter	the_mad_hatter
empire_city	new_york
complainant	plaintiff
audio_cassette	compact_cassette
castellano	spanish_language
attention_deficit_disorder	attention_deficit_hyperactivity_disorder
california_angels	los_angeles_angels
adrenaline	epinephrine
george_gershwin	gershwin
athene	pallas_athena
infantile_paralysis	poliomyelitis
epileptic_seizure	seizures
penn_state	pennsylvania_state_university
whitsunday	whit
twin_towers	world_trade_center
american_south	southern_united_states
joseph_stalin	stalin
alcohol_dependence	alcoholism
cop	police_officer
schweiz	switzerland
angelus	twilight
omar	umar
mixing_console	mixing_desk
universal_city_studios	universal_studios
rachmaninoff	rachmaninov
norwegian_parliament	stortinget
itching	pruritus
iranian_revolution	islamic_revolution
nabataeans	nabatean
air_disaster	plane_crash
l-tyrosine	tyr
verizon_communications	verizon
short_ton	ton
general_electric	ge
london_heathrow_airport	london_heathrow
business	firm
paul	sir_paul_mccartney
united_states_constitution	us_constitution
microsoft_corporation	microsoft
reptiles	reptile
television_advertisement	television_commercial
plantae	plant
action_film	action
ted_kennedy	ted
hog	sus
chicago_tribune	tribune
caustic_soda	lye
bowser	koopa
swedish_language	swedish
factory	manufactory
bruce_banner	hulk
consumption	tuberculosis
mandal	taluk
canadian_broadcasting_corporation	cbc
netherlands	the_netherlands
dwight_eisenhower	president_eisenhower
inflammatory_bowel_diseases	inflammatory_bowel_disease
chapel_hill	unc
elvis	the_king
thessalonica	thessaloniki
edema	oedema
london_stock_exchange	lse
